CountyFIPS,CountyName,StateDesc
56003,Big Horn,Wyoming
55005,Barron,Wisconsin
22049,Jackson,Louisiana
48169,Garza,Texas
48327,Menard,Texas
32019,Lyon,Nevada
26159,Van Buren,Michigan
13297,Walton,Georgia
54025,Greenbrier,West Virginia
38091,Steele,North Dakota
56033,Sheridan,Wyoming
15009,Maui,Hawaii
5063,Independence,Arkansas
48435,Sutton,Texas
51540,Charlottesville,Virginia
54105,Wirt,West Virginia
31163,Sherman,Nebraska
36079,Putnam,New York
13231,Pike,Georgia
40107,Okfuskee,Oklahoma
22103,St. Tammany,Louisiana
38019,Cavalier,North Dakota
19017,Bremer,Iowa
45001,Abbeville,South Carolina
18037,Dubois,Indiana
47041,DeKalb,Tennessee
51680,Lynchburg,Virginia
26089,Leelanau,Michigan
40021,Cherokee,Oklahoma
47013,Campbell,Tennessee
36089,St. Lawrence,New York
48379,Rains,Texas
13173,Lanier,Georgia
26005,Allegan,Michigan
19051,Davis,Iowa
27027,Clay,Minnesota
47097,Lauderdale,Tennessee
48209,Hays,Texas
40075,Kiowa,Oklahoma
26059,Hillsdale,Michigan
18003,Allen,Indiana
37059,Davie,North Carolina
37197,Yadkin,North Carolina
47063,Hamblen,Tennessee
32031,Washoe,Nevada
27057,Hubbard,Minnesota
56005,Campbell,Wyoming
18101,Martin,Indiana
20051,Ellis,Kansas
30085,Roosevelt,Montana
48115,Dawson,Texas
51171,Shenandoah,Virginia
20115,Marion,Kansas
21141,Logan,Kentucky
37129,New Hanover,North Carolina
51049,Cumberland,Virginia
12043,Glades,Florida
38105,Williams,North Dakota
13307,Webster,Georgia
27081,Lincoln,Minnesota
5085,Lonoke,Arkansas
40031,Comanche,Oklahoma
29049,Clinton,Missouri
25011,Franklin,Massachusetts
20085,Jackson,Kansas
45089,Williamsburg,South Carolina
28115,Pontotoc,Mississippi
17151,Pope,Illinois
48105,Crockett,Texas
19081,Hancock,Iowa
5127,Scott,Arkansas
21205,Rowan,Kentucky
13035,Butts,Georgia
24009,Calvert,Maryland
31185,York,Nebraska
55111,Sauk,Wisconsin
20021,Cherokee,Kansas
5149,Yell,Arkansas
36015,Chemung,New York
41017,Deschutes,Oregon
45065,McCormick,South Carolina
21017,Bourbon,Kentucky
48401,Rusk,Texas
53039,Klickitat,Washington
39007,Ashtabula,Ohio
47009,Blount,Tennessee
37049,Craven,North Carolina
47127,Moore,Tennessee
26025,Calhoun,Michigan
22029,Concordia,Louisiana
48481,Wharton,Texas
48051,Burleson,Texas
1085,Lowndes,Alabama
53065,Stevens,Washington
41039,Lane,Oregon
27155,Traverse,Minnesota
29186,Ste. Genevieve,Missouri
18171,Warren,Indiana
28081,Lee,Mississippi
18025,Crawford,Indiana
38061,Mountrail,North Dakota
19105,Jones,Iowa
13063,Clayton,Georgia
1049,DeKalb,Alabama
20171,Scott,Kansas
19193,Woodbury,Iowa
55081,Monroe,Wisconsin
21107,Hopkins,Kentucky
8087,Morgan,Colorado
30031,Gallatin,Montana
38041,Hettinger,North Dakota
37091,Hertford,North Carolina
30105,Valley,Montana
30095,Stillwater,Montana
37063,Durham,North Carolina
51139,Page,Virginia
27091,Martin,Minnesota
30007,Broadwater,Montana
27145,Stearns,Minnesota
8113,San Miguel,Colorado
39079,Jackson,Ohio
56043,Washakie,Wyoming
31141,Platte,Nebraska
28149,Warren,Mississippi
12001,Alachua,Florida
40085,Love,Oklahoma
16029,Caribou,Idaho
27105,Nobles,Minnesota
47177,Warren,Tennessee
46079,Lake,South Dakota
39049,Franklin,Ohio
51011,Appomattox,Virginia
29093,Iron,Missouri
37155,Robeson,North Carolina
50027,Windsor,Vermont
13101,Echols,Georgia
35015,Eddy,New Mexico
40011,Blaine,Oklahoma
1075,Lamar,Alabama
37029,Camden,North Carolina
29071,Franklin,Missouri
26069,Iosco,Michigan
31099,Kearney,Nebraska
48017,Bailey,Texas
46089,McPherson,South Dakota
25023,Plymouth,Massachusetts
30051,Liberty,Montana
28163,Yazoo,Mississippi
1051,Elmore,Alabama
26047,Emmet,Michigan
51101,King William,Virginia
36119,Westchester,New York
17113,McLean,Illinois
53009,Clallam,Washington
8025,Crowley,Colorado
48263,Kent,Texas
13005,Bacon,Georgia
30061,Mineral,Montana
1105,Perry,Alabama
21125,Laurel,Kentucky
28017,Chickasaw,Mississippi
18055,Greene,Indiana
26113,Missaukee,Michigan
1029,Cleburne,Alabama
31111,Lincoln,Nebraska
48161,Freestone,Texas
45025,Chesterfield,South Carolina
51520,Bristol,Virginia
54075,Pocahontas,West Virginia
16039,Elmore,Idaho
28059,Jackson,Mississippi
48425,Somervell,Texas
50017,Orange,Vermont
37191,Wayne,North Carolina
38099,Walsh,North Dakota
5147,Woodruff,Arkansas
48351,Newton,Texas
32029,Storey,Nevada
56025,Natrona,Wyoming
31013,Box Butte,Nebraska
26135,Oscoda,Michigan
55137,Waushara,Wisconsin
48289,Leon,Texas
18045,Fountain,Indiana
45047,Greenwood,South Carolina
18177,Wayne,Indiana
54109,Wyoming,West Virginia
42051,Fayette,Pennsylvania
48465,Val Verde,Texas
12105,Polk,Florida
13239,Quitman,Georgia
36087,Rockland,New York
55029,Door,Wisconsin
4027,Yuma,Arizona
48371,Pecos,Texas
37035,Catawba,North Carolina
47147,Robertson,Tennessee
27033,Cottonwood,Minnesota
47033,Crockett,Tennessee
36065,Oneida,New York
26067,Ionia,Michigan
41019,Douglas,Oregon
16073,Owyhee,Idaho
27019,Carver,Minnesota
17049,Effingham,Illinois
19099,Jasper,Iowa
29057,Dade,Missouri
42061,Huntingdon,Pennsylvania
20059,Franklin,Kansas
18011,Boone,Indiana
18109,Morgan,Indiana
19027,Carroll,Iowa
5029,Conway,Arkansas
12051,Hendry,Florida
48319,Mason,Texas
56013,Fremont,Wyoming
35059,Union,New Mexico
26165,Wexford,Michigan
26097,Mackinac,Michigan
40109,Oklahoma,Oklahoma
29187,St. Francois,Missouri
28109,Pearl River,Mississippi
48079,Cochran,Texas
55083,Oconto,Wisconsin
47121,Meigs,Tennessee
36009,Cattaraugus,New York
51163,Rockbridge,Virginia
20093,Kearny,Kansas
12077,Liberty,Florida
23029,Washington,Maine
38005,Benson,North Dakota
47077,Henderson,Tennessee
39167,Washington,Ohio
6021,Glenn,California
28123,Scott,Mississippi
21133,Letcher,Kentucky
22039,Evangeline,Louisiana
54103,Wetzel,West Virginia
20123,Mitchell,Kansas
48445,Terry,Texas
48097,Cooke,Texas
45081,Saluda,South Carolina
13315,Wilcox,Georgia
13149,Heard,Georgia
5093,Mississippi,Arkansas
48361,Orange,Texas
29125,Maries,Missouri
46119,Sully,South Dakota
37065,Edgecombe,North Carolina
19057,Des Moines,Iowa
48337,Montague,Texas
20029,Cloud,Kansas
16017,Bonner,Idaho
55103,Richland,Wisconsin
35009,Curry,New Mexico
48381,Randall,Texas
17087,Johnson,Illinois
19129,Mills,Iowa
37005,Alleghany,North Carolina
27131,Rice,Minnesota
51077,Grayson,Virginia
40077,Latimer,Oklahoma
46085,Lyman,South Dakota
21189,Owsley,Kentucky
29063,DeKalb,Missouri
6007,Butte,California
1041,Crenshaw,Alabama
22069,Natchitoches,Louisiana
26033,Chippewa,Michigan
39013,Belmont,Ohio
48059,Callahan,Texas
27011,Big Stone,Minnesota
31101,Keith,Nebraska
13071,Colquitt,Georgia
19163,Scott,Iowa
37001,Alamance,North Carolina
48489,Willacy,Texas
28157,Wilkinson,Mississippi
1093,Marion,Alabama
30023,Deer Lodge,Montana
20163,Rooks,Kansas
2275,Wrangell,Alaska
46025,Clark,South Dakota
17023,Clark,Illinois
27067,Kandiyohi,Minnesota
29179,Reynolds,Missouri
21041,Carroll,Kentucky
8079,Mineral,Colorado
18147,Spencer,Indiana
31175,Valley,Nebraska
27169,Winona,Minnesota
19185,Wayne,Iowa
55075,Marinette,Wisconsin
13061,Clay,Georgia
22005,Ascension,Louisiana
48225,Houston,Texas
51650,Hampton,Virginia
12011,Broward,Florida
37083,Halifax,North Carolina
5083,Logan,Arkansas
29171,Putnam,Missouri
54045,Logan,West Virginia
47185,White,Tennessee
48415,Scurry,Texas
6085,Santa Clara,California
40055,Greer,Oklahoma
38069,Pierce,North Dakota
30087,Rosebud,Montana
8089,Otero,Colorado
33019,Sullivan,New Hampshire
13125,Glascock,Georgia
42115,Susquehanna,Pennsylvania
35037,Quay,New Mexico
29023,Butler,Missouri
1115,St. Clair,Alabama
53073,Whatcom,Washington
10001,Kent,Delaware
27097,Morrison,Minnesota
37147,Pitt,North Carolina
2122,Kenai Peninsula,Alaska
36095,Schoharie,New York
51067,Franklin,Virginia
46055,Haakon,South Dakota
48021,Bastrop,Texas
21215,Spencer,Kentucky
8033,Dolores,Colorado
26003,Alger,Michigan
36039,Greene,New York
1059,Franklin,Alabama
51019,Bedford,Virginia
47057,Grainger,Tennessee
38035,Grand Forks,North Dakota
40095,Marshall,Oklahoma
41029,Jackson,Oregon
6061,Placer,California
29013,Bates,Missouri
51820,Waynesboro,Virginia
41059,Umatilla,Oregon
28029,Copiah,Mississippi
13179,Liberty,Georgia
20073,Greenwood,Kansas
48187,Guadalupe,Texas
37113,Macon,North Carolina
13215,Muscogee,Georgia
5107,Phillips,Arkansas
28129,Smith,Mississippi
26143,Roscommon,Michigan
18119,Owen,Indiana
31021,Burt,Nebraska
49035,Salt Lake,Utah
45017,Calhoun,South Carolina
31121,Merrick,Nebraska
38075,Renville,North Dakota
19001,Adair,Iowa
39125,Paulding,Ohio
55057,Juneau,Wisconsin
35029,Luna,New Mexico
5137,Stone,Arkansas
28099,Neshoba,Mississippi
39095,Lucas,Ohio
16081,Teton,Idaho
27119,Polk,Minnesota
54009,Brooke,West Virginia
13115,Floyd,Georgia
37043,Clay,North Carolina
49011,Davis,Utah
21095,Harlan,Kentucky
21233,Webster,Kentucky
51155,Pulaski,Virginia
30069,Petroleum,Montana
12003,Baker,Florida
47083,Houston,Tennessee
12113,Santa Rosa,Florida
42031,Clarion,Pennsylvania
48255,Karnes,Texas
28035,Forrest,Mississippi
47047,Fayette,Tennessee
41057,Tillamook,Oregon
17057,Fulton,Illinois
27041,Douglas,Minnesota
6051,Mono,California
17103,Lee,Illinois
8017,Cheyenne,Colorado
51125,Nelson,Virginia
31057,Dundy,Nebraska
13199,Meriwether,Georgia
22047,Iberville,Louisiana
19091,Humboldt,Iowa
36061,New York,New York
36073,Orleans,New York
39159,Union,Ohio
4019,Pima,Arizona
6105,Trinity,California
36001,Albany,New York
51610,Falls Church,Virginia
37177,Tyrrell,North Carolina
5021,Clay,Arkansas
13259,Stewart,Georgia
22077,Pointe Coupee,Louisiana
20099,Labette,Kansas
42095,Northampton,Pennsylvania
27139,Scott,Minnesota
21055,Crittenden,Kentucky
12059,Holmes,Florida
16047,Gooding,Idaho
42021,Cambria,Pennsylvania
31047,Dawson,Nebraska
48035,Bosque,Texas
38089,Stark,North Dakota
37141,Pender,North Carolina
48065,Carson,Texas
19035,Cherokee,Iowa
2180,Nome,Alaska
55091,Pepin,Wisconsin
29199,Scotland,Missouri
12069,Lake,Florida
45039,Fairfield,South Carolina
20157,Republic,Kansas
49001,Beaver,Utah
23013,Knox,Maine
26105,Mason,Michigan
39061,Hamilton,Ohio
21117,Kenton,Kentucky
19065,Fayette,Iowa
38055,McLean,North Dakota
20035,Cowley,Kansas
13189,McDuffie,Georgia
17015,Carroll,Illinois
47161,Stewart,Tennessee
20187,Stanton,Kansas
18139,Rush,Indiana
53023,Garfield,Washington
5073,Lafayette,Arkansas
36031,Essex,New York
39031,Coshocton,Ohio
22113,Vermilion,Louisiana
13021,Bibb,Georgia
17185,Wabash,Illinois
46013,Brown,South Dakota
47019,Carter,Tennessee
37077,Granville,North Carolina
55043,Grant,Wisconsin
27127,Redwood,Minnesota
8071,Las Animas,Colorado
48191,Hall,Texas
51027,Buchanan,Virginia
42075,Lebanon,Pennsylvania
51085,Hanover,Virginia
24047,Worcester,Maryland
1123,Tallapoosa,Alabama
17079,Jasper,Illinois
37013,Beaufort,North Carolina
19177,Van Buren,Iowa
17195,Whiteside,Illinois
40119,Payne,Oklahoma
18075,Jay,Indiana
6071,San Bernardino,California
28093,Marshall,Mississippi
47111,Macon,Tennessee
8097,Pitkin,Colorado
20137,Norton,Kansas
19155,Pottawattamie,Iowa
36117,Wayne,New York
48001,Anderson,Texas
35003,Catron,New Mexico
21159,Martin,Kentucky
54089,Summers,West Virginia
48015,Austin,Texas
13135,Gwinnett,Georgia
22013,Bienville,Louisiana
5043,Drew,Arkansas
30049,Lewis and Clark,Montana
46127,Union,South Dakota
18155,Switzerland,Indiana
46021,Campbell,South Dakota
53053,Pierce,Washington
27161,Waseca,Minnesota
48499,Wood,Texas
13019,Berrien,Georgia
29087,Holt,Missouri
40013,Bryan,Oklahoma
2220,Sitka,Alaska
27075,Lake,Minnesota
5045,Faulkner,Arkansas
17131,Mercer,Illinois
38025,Dunn,North Dakota
21011,Bath,Kentucky
50007,Chittenden,Vermont
41069,Wheeler,Oregon
13051,Chatham,Georgia
27063,Jackson,Minnesota
20201,Washington,Kansas
49045,Tooele,Utah
42085,Mercer,Pennsylvania
48233,Hutchinson,Texas
28065,Jefferson Davis,Mississippi
5011,Bradley,Arkansas
39121,Noble,Ohio
48455,Trinity,Texas
6115,Yuba,California
28009,Benton,Mississippi
37107,Lenoir,North Carolina
13085,Dawson,Georgia
24019,Dorchester,Maryland
49055,Wayne,Utah
53025,Grant,Washington
1003,Baldwin,Alabama
30005,Blaine,Montana
21223,Trimble,Kentucky
31087,Hitchcock,Nebraska
26023,Branch,Michigan
8041,El Paso,Colorado
19121,Madison,Iowa
46063,Harding,South Dakota
40047,Garfield,Oklahoma
29077,Greene,Missouri
13245,Richmond,Georgia
13285,Troup,Georgia
9009,New Haven,Connecticut
2090,Fairbanks North Star,Alaska
48391,Refugio,Texas
40149,Washita,Oklahoma
31085,Hayes,Nebraska
6041,Marin,California
48127,Dimmit,Texas
53059,Skamania,Washington
51135,Nottoway,Virginia
37171,Surry,North Carolina
29163,Pike,Missouri
48479,Webb,Texas
36071,Orange,New York
53003,Asotin,Washington
8125,Yuma,Colorado
30107,Wheatland,Montana
21163,Meade,Kentucky
30013,Cascade,Montana
51590,Danville,Virginia
38043,Kidder,North Dakota
55099,Price,Wisconsin
8095,Phillips,Colorado
54039,Kanawha,West Virginia
24029,Kent,Maryland
6095,Solano,California
13133,Greene,Georgia
1013,Butler,Alabama
20065,Graham,Kansas
8009,Baca,Colorado
1121,Talladega,Alabama
12121,Suwannee,Florida
5013,Calhoun,Arkansas
13255,Spalding,Georgia
20109,Logan,Kansas
13107,Emanuel,Georgia
51191,Washington,Virginia
40147,Washington,Oklahoma
17167,Sangamon,Illinois
47091,Johnson,Tennessee
8051,Gunnison,Colorado
13289,Twiggs,Georgia
31075,Grant,Nebraska
48103,Crane,Texas
28075,Lauderdale,Mississippi
17133,Monroe,Illinois
15001,Hawaii,Hawaii
19009,Audubon,Iowa
48247,Jim Hogg,Texas
20075,Hamilton,Kansas
2185,North Slope,Alaska
26151,Sanilac,Michigan
6031,Kings,California
24015,Cecil,Maryland
46007,Bennett,South Dakota
40067,Jefferson,Oklahoma
22081,Red River,Louisiana
18129,Posey,Indiana
39151,Stark,Ohio
19043,Clayton,Iowa
27049,Goodhue,Minnesota
12123,Taylor,Florida
39009,Athens,Ohio
28139,Tippah,Mississippi
37051,Cumberland,North Carolina
31109,Lancaster,Nebraska
39101,Marion,Ohio
48429,Stephens,Texas
6069,San Benito,California
12093,Okeechobee,Florida
26161,Washtenaw,Michigan
13299,Ware,Georgia
41049,Morrow,Oregon
42105,Potter,Pennsylvania
42127,Wayne,Pennsylvania
55015,Calumet,Wisconsin
48237,Jack,Texas
4012,La Paz,Arizona
39081,Jefferson,Ohio
21149,McLean,Kentucky
31165,Sioux,Nebraska
47137,Pickett,Tennessee
48197,Hardeman,Texas
49027,Millard,Utah
48275,Knox,Texas
33009,Grafton,New Hampshire
51179,Stafford,Virginia
18035,Delaware,Indiana
36081,Queens,New York
46043,Douglas,South Dakota
39037,Darke,Ohio
48501,Yoakum,Texas
38021,Dickey,North Dakota
30077,Powell,Montana
21109,Jackson,Kentucky
31153,Sarpy,Nebraska
19019,Buchanan,Iowa
54091,Taylor,West Virginia
21129,Lee,Kentucky
22101,St. Mary,Louisiana
26087,Lapeer,Michigan
47027,Clay,Tennessee
48301,Loving,Texas
48133,Eastland,Texas
12031,Duval,Florida
48365,Panola,Texas
42041,Cumberland,Pennsylvania
46097,Miner,South Dakota
27147,Steele,Minnesota
37021,Buncombe,North Carolina
31139,Pierce,Nebraska
20045,Douglas,Kansas
20139,Osage,Kansas
25013,Hampden,Massachusetts
20013,Brown,Kansas
18099,Marshall,Indiana
21197,Powell,Kentucky
48157,Fort Bend,Texas
47001,Anderson,Tennessee
48421,Sherman,Texas
19073,Greene,Iowa
27059,Isanti,Minnesota
48075,Childress,Texas
49057,Weber,Utah
42011,Berks,Pennsylvania
21057,Cumberland,Kentucky
18163,Vanderburgh,Indiana
21099,Hart,Kentucky
20129,Morton,Kansas
48037,Bowie,Texas
29073,Gasconade,Missouri
48147,Fannin,Texas
27083,Lyon,Minnesota
29197,Schuyler,Missouri
42067,Juniata,Pennsylvania
26049,Genesee,Michigan
8115,Sedgwick,Colorado
8031,Denver,Colorado
22021,Caldwell,Louisiana
19147,Palo Alto,Iowa
12061,Indian River,Florida
29175,Randolph,Missouri
22123,West Carroll,Louisiana
1057,Fayette,Alabama
31045,Dawes,Nebraska
40005,Atoka,Oklahoma
1077,Lauderdale,Alabama
25001,Barnstable,Massachusetts
17007,Boone,Illinois
40033,Cotton,Oklahoma
5099,Nevada,Arkansas
54061,Monongalia,West Virginia
29039,Cedar,Missouri
32009,Esmeralda,Nevada
19063,Emmet,Iowa
16021,Boundary,Idaho
31025,Cass,Nebraska
13011,Banks,Georgia
29009,Barry,Missouri
8105,Rio Grande,Colorado
2050,Bethel,Alaska
53033,King,Washington
13077,Coweta,Georgia
55045,Green,Wisconsin
6013,Contra Costa,California
13043,Candler,Georgia
17197,Will,Illinois
17071,Henderson,Illinois
51700,Newport News,Virginia
48167,Galveston,Texas
13087,Decatur,Georgia
56031,Platte,Wyoming
35055,Taos,New Mexico
8061,Kiowa,Colorado
18183,Whitley,Indiana
1043,Cullman,Alabama
30043,Jefferson,Montana
40039,Custer,Oklahoma
27113,Pennington,Minnesota
5053,Grant,Arkansas
38085,Sioux,North Dakota
5109,Pike,Arkansas
53067,Thurston,Washington
19053,Decatur,Iowa
40003,Alfalfa,Oklahoma
51147,Prince Edward,Virginia
46105,Perkins,South Dakota
18065,Henry,Indiana
48011,Armstrong,Texas
46071,Jackson,South Dakota
1067,Henry,Alabama
26015,Barry,Michigan
38051,McIntosh,North Dakota
36111,Ulster,New York
29155,Pemiscot,Missouri
53011,Clark,Washington
2261,Valdez-Cordova,Alaska
28045,Hancock,Mississippi
20057,Ford,Kansas
13163,Jefferson,Georgia
47035,Cumberland,Tennessee
47073,Hawkins,Tennessee
37097,Iredell,North Carolina
6087,Santa Cruz,California
19117,Lucas,Iowa
48471,Walker,Texas
16031,Cassia,Idaho
13197,Marion,Georgia
51109,Louisa,Virginia
21079,Garrard,Kentucky
8015,Chaffee,Colorado
36019,Clinton,New York
30009,Carbon,Montana
6023,Humboldt,California
12085,Martin,Florida
27103,Nicollet,Minnesota
48211,Hemphill,Texas
1131,Wilcox,Alabama
48295,Lipscomb,Texas
37061,Duplin,North Carolina
17061,Greene,Illinois
47011,Bradley,Tennessee
47099,Lawrence,Tennessee
37157,Rockingham,North Carolina
55085,Oneida,Wisconsin
48085,Collin,Texas
19181,Warren,Iowa
19127,Marshall,Iowa
48281,Lampasas,Texas
29145,Newton,Missouri
45033,Dillon,South Carolina
51013,Arlington,Virginia
13099,Early,Georgia
51001,Accomack,Virginia
56037,Sweetwater,Wyoming
55037,Florence,Wisconsin
4003,Cochise,Arizona
12019,Clay,Florida
23003,Aroostook,Maine
51107,Loudoun,Virginia
37123,Montgomery,North Carolina
36121,Wyoming,New York
26131,Ontonagon,Michigan
17141,Ogle,Illinois
31067,Gage,Nebraska
28113,Pike,Mississippi
39051,Fulton,Ohio
35045,San Juan,New Mexico
30053,Lincoln,Montana
16065,Madison,Idaho
40139,Texas,Oklahoma
48173,Glasscock,Texas
13275,Thomas,Georgia
19083,Hardin,Iowa
20003,Anderson,Kansas
40097,Mayes,Oklahoma
22093,St. James,Louisiana
13151,Henry,Georgia
36017,Chenango,New York
40101,Muskogee,Oklahoma
13217,Newton,Georgia
24037,St. Mary's,Maryland
31005,Arthur,Nebraska
21173,Montgomery,Kentucky
21069,Fleming,Kentucky
45023,Chester,South Carolina
41011,Coos,Oregon
18121,Parke,Indiana
54073,Pleasants,West Virginia
55007,Bayfield,Wisconsin
45059,Laurens,South Carolina
17175,Stark,Illinois
24005,Baltimore,Maryland
41007,Clatsop,Oregon
28013,Calhoun,Mississippi
48049,Brown,Texas
45057,Lancaster,South Carolina
44005,Newport,Rhode Island
16001,Ada,Idaho
22031,De Soto,Louisiana
47129,Morgan,Tennessee
26101,Manistee,Michigan
48437,Swisher,Texas
30073,Pondera,Montana
27157,Wabasha,Minnesota
41041,Lincoln,Oregon
39139,Richland,Ohio
26121,Muskegon,Michigan
18027,Daviess,Indiana
13141,Hancock,Georgia
54083,Randolph,West Virginia
31173,Thurston,Nebraska
37041,Chowan,North Carolina
19107,Keokuk,Iowa
12009,Brevard,Florida
29181,Ripley,Missouri
20173,Sedgwick,Kansas
48493,Wilson,Texas
21039,Carlisle,Kentucky
48261,Kenedy,Texas
8081,Moffat,Colorado
6077,San Joaquin,California
21227,Warren,Kentucky
28003,Alcorn,Mississippi
27093,Meeker,Minnesota
42003,Allegheny,Pennsylvania
27073,Lac qui Parle,Minnesota
37093,Hoke,North Carolina
