CountyFIPS,Density,total_population,RuralUrban,CountyName,Lon,Lat
1105,12.4,8905,Rural,Perry,-87.29439436,32.63868928
1107,22.6,19928,Rural,Pickens,-88.08874093,33.28043578
1109,49.3,33118,Rural,Pike,-85.94116812,31.80252217
1111,39.2,22779,Rural,Randolph,-85.45907232,33.29367147
1113,90.6,58095,Rural,Russell,-85.18445744,32.28842421
1115,142.4,90004,Rural,St. Clair,-86.3149495,33.71565784
1117,278.4,218514,Rural,Shelby,-86.66104603,33.26422221
1119,13.7,12396,Rural,Sumter,-88.1995063,32.58923369
1121,108.6,80019,Rural,Talladega,-86.16578887,33.38016157
1123,56.4,40416,Rural,Tallapoosa,-85.79743161,32.86282332
1125,158.9,210089,Rural,Tuscaloosa,-87.52507429,33.28961016
1127,80.5,63655,Rural,Walker,-87.29738289,33.80308206
1129,15.1,16314,Rural,Washington,-88.20779087,31.40764298
1131,11.7,10364,Rural,Wilcox,-87.30801913,31.98925616
1133,38.6,23651,Rural,Winston,-87.37360952,34.14919919
2013,0.5,3335,Rural,Aleutians East,-161.979848,55.35903757
2016,1.3,5623,Rural,Aleutians West,-107.825461,52.8107872
2020,168.4,287009,Rural,Anchorage,-149.1141071,61.1504589
2050,0.5,18348,Rural,Bethel,-159.8247503,60.91560276
2060,1.6,831,Rural,Bristol Bay,-156.701884,58.74223433
2068,0.2,2101,Rural,Denali,-150.0088291,63.67350143
2070,0.3,4905,Rural,Dillingham,-158.2125392,59.79999618
2090,13.1,96444,Rural,Fairbanks North Star,-146.5624138,64.80852672
2100,1.1,2524,Rural,Haines,-135.5007934,59.11448538
2105,0.3,2146,Rural,Hoonah-Angoon,-135.3290871,58.18652895
2110,11.8,31981,Rural,Juneau,-134.1828501,58.45102839
2122,3.7,58806,Rural,Kenai Peninsula,-151.5665895,60.25818708
2130,2.9,13928,Rural,Ketchikan Gateway,-130.9352394,55.58863162
2150,2.0,12896,Rural,Kodiak Island,-153.7816117,57.66814491
2158,0.5,8280,Rural,Kusilvak,-163.3831265,62.1574671
2164,0.1,1581,Rural,Lake and Peninsula,-156.1898946,58.63644251
2170,4.4,108894,Rural,Matanuska-Susitna,-149.5702635,62.3154278
2180,0.4,9945,Rural,Nome,-164.0327478,64.91045824
2185,0.1,9821,Rural,North Slope,-153.4445902,69.3117884
2188,0.2,7564,Rural,Northwest Arctic,-159.7201294,67.05603596
2195,1.0,3258,Rural,Petersburg,-133.2863383,56.81190828
2198,1.6,6186,Rural,Prince of Wales-Hyder,-132.7096152,55.50495667
2220,3.0,8497,Rural,Sitka,-135.3033492,57.23208595
2230,2.6,1182,Rural,Skagway,-135.3374592,59.55833765
2240,0.3,6867,Rural,Southeast Fairbanks,-143.2062598,63.87758207
2261,0.3,9196,Rural,Valdez-Cordova,-144.4916418,61.5583398
2275,1.0,2491,Rural,Wrangell,-132.0250936,56.32355894
2282,0.1,577,Rural,Yakutat,-140.3569385,59.8899763
2290,0.0,5195,Rural,Yukon-Koyukuk,-151.3907449,65.50918931
4001,6.4,72068,Rural,Apache,-109.48883,35.3954111
4003,20.4,125866,Rural,Cochise,-109.751401,31.87949959
4005,7.8,144552,Rural,Coconino,-111.7705891,35.83863914
4007,11.4,54198,Rural,Gila,-110.8132413,33.80040568
4009,8.4,39011,Rural,Graham,-109.8871087,32.93306592
4011,5.2,9493,Rural,Greenlee,-109.2401339,33.21528272
4012,4.7,21195,Rural,La Paz,-113.9813104,33.72903482
4013,490.5,4512331,Rural,Maricopa,-112.4911577,33.34873471
4015,16.1,213678,Rural,Mohave,-113.7582468,35.70432399
4017,11.2,111160,Rural,Navajo,-110.3214398,35.39967567
4019,114.6,1052466,Rural,Pima,-111.7899304,32.09739367
4021,87.1,467550,Rural,Pinal,-111.3447295,32.90442817
4023,37.6,46451,Rural,Santa Cruz,-110.8465934,31.52596855
4025,29.2,237378,Rural,Yavapai,-112.5546325,34.59993679
4027,38.8,214121,Rural,Yuma,-113.9054902,32.76937366
5001,17.7,17468,Rural,Arkansas,-91.3748863,34.29096754
5003,21.2,19602,Rural,Ashley,-91.76816623,33.19113397
5005,76.2,42212,Rural,Baxter,-92.33709121,36.28685474
5007,331.7,281073,Rural,Benton,-94.25600736,36.33868245
5009,63.6,37552,Rural,Boone,-93.09130789,36.30867994
5011,16.6,10800,Rural,Bradley,-92.16175892,33.46670706
5013,8.3,5221,Rural,Calhoun,-92.50254644,33.5579242
5015,45.2,28510,Rural,Carroll,-93.53833197,36.34098375
5017,15.6,10063,Rural,Chicot,-91.29368077,33.26749203
5019,25.7,22280,Rural,Clark,-93.17677056,34.05109731
5021,22.8,14558,Rural,Clay,-90.41752753,36.368387
5023,45.1,24967,Rural,Cleburne,-92.02657971,35.5386039
5025,13.3,7949,Rural,Cleveland,-92.18537424,33.89825014
5027,30.6,23424,Rural,Columbia,-93.22734359,33.21420367
5029,37.9,20908,Rural,Conway,-92.70068272,35.26219672
5031,156.8,110860,Rural,Craighead,-90.63229859,35.83160874
5033,107.0,63436,Rural,Crawford,-94.24297668,35.58844941
5035,78.5,47837,Rural,Crittenden,-90.30893924,35.20802432
5037,26.6,16401,Rural,Cross,-90.77162753,35.29535703
5039,10.5,6995,Rural,Dallas,-92.65478384,33.96963779
5041,14.7,11324,Rural,Desha,-91.25357726,33.83364691
5043,22.0,18244,Rural,Drew,-91.71953511,33.58969442
5045,195.0,126340,Rural,Faulkner,-92.33175659,35.14730833
5047,29.2,17763,Rural,Franklin,-93.89070925,35.51242559
5049,20.3,12550,Rural,Fulton,-91.8181331,36.38184868
5051,147.5,99945,Rural,Garland,-93.15048723,34.57659951
5053,29.0,18332,Rural,Grant,-92.42388914,34.28984017
5055,78.7,45465,Rural,Greene,-90.5589908,36.11781055
5057,29.6,21504,Rural,Hempstead,-93.66829193,33.73525161
5059,55.1,33867,Rural,Hot Spring,-92.9458125,34.31759618
5061,22.5,13225,Rural,Howard,-93.99348622,34.08863063
5063,49.6,37914,Rural,Independence,-91.56928386,35.74162443
5065,23.6,13679,Rural,Izard,-91.91321978,36.09523171
5067,26.4,16722,Rural,Jackson,-91.21410789,35.59855662
5069,76.4,66485,Rural,Jefferson,-91.93188484,34.26873626
5071,40.4,26672,Rural,Johnson,-93.45972872,35.57042442
5073,12.5,6612,Rural,Lafayette,-93.60616765,33.24154014
5075,27.9,16415,Rural,Lawrence,-91.10729307,36.04107822
5077,14.7,8831,Rural,Lee,-90.78263385,34.78072086
5079,23.3,13081,Rural,Lincoln,-91.73312526,33.95746845
5081,23.1,12275,Rural,Little River,-94.23313382,33.69972301
5083,30.4,21501,Rural,Logan,-93.71636811,35.21566114
5085,95.6,73667,Rural,Lonoke,-91.88869734,34.75408935
5087,20.0,16674,Rural,Madison,-93.72471538,36.0109104
5089,28.2,16821,Rural,Marion,-92.68427373,36.2685868
5091,69.3,43325,Rural,Miller,-93.89206062,33.31104739
5093,44.9,40449,Rural,Mississippi,-90.05430128,35.76390932
5095,11.0,6680,Rural,Monroe,-91.20388766,34.67817821
5097,11.6,9025,Rural,Montgomery,-93.65940752,34.53854423
5099,13.4,8258,Rural,Nevada,-93.30711084,33.66372397
5101,9.5,7771,Rural,Newton,-93.2177712,35.92023827
5103,31.9,23384,Rural,Ouachita,-92.88169493,33.59337489
5105,19.0,10478,Rural,Perry,-92.9314862,34.94710024
5107,25.4,17639,Rural,Phillips,-90.84788141,34.42859172
5109,17.9,10736,Rural,Pike,-93.65631372,34.16302712
5111,31.0,23537,Rural,Poinsett,-90.66320391,35.57473823
5113,23.3,20000,Rural,Polk,-94.22791298,34.48593652
5115,79.2,64342,Rural,Pope,-93.03400082,35.44769349
5117,12.4,8057,Rural,Prairie,-91.55264098,34.82960671
5119,516.2,392189,Urban,Pulaski,-92.31181185,34.76991477
5121,27.7,18036,Rural,Randolph,-91.02767458,36.3414338
5123,39.1,24832,Rural,St. Francis,-90.74737815,35.02173053
5125,170.4,123287,Rural,Saline,-92.67655282,34.64661648
5127,11.5,10284,Rural,Scott,-94.06289549,34.86065738
5129,11.9,7903,Rural,Searcy,-92.69953421,35.91104278
5131,240.7,128014,Rural,Sebastian,-94.27373467,35.19876858
5133,30.1,17018,Rural,Sevier,-94.24207566,33.99734907
5135,29.1,17579,Rural,Sharp,-91.47983875,36.16113202
5137,20.7,12555,Rural,Stone,-92.15687671,35.86015356
5139,37.2,38617,Rural,Union,-92.59714252,33.17138124
5141,23.4,16571,Rural,Van Buren,-92.51564197,35.58056473
5143,254.9,240117,Rural,Washington,-94.21583896,35.97881814
5145,76.3,79013,Rural,White,-91.74483397,35.25617211
5147,10.7,6307,Rural,Woodruff,-91.24211404,35.18577746
5149,23.0,21367,Rural,Yell,-93.41096826,35.00279251
6001,2261.3,1671168,Urban,Alameda,-121.8893196,37.64555147
6003,1.5,1136,Rural,Alpine,-119.8207379,38.59716187
6005,67.5,40131,Rural,Amador,-120.6497455,38.44628731
6007,133.9,219114,Rural,Butte,-121.5995887,39.6668772
6009,45.1,46038,Rural,Calaveras,-120.55399,38.20431662
6011,18.8,21605,Rural,Colusa,-122.237555,39.17712713
6013,1613.5,1155188,Urban,Contra Costa,-121.927827,37.91916061
6015,27.8,27972,Rural,Del Norte,-123.8987443,41.74313957
6017,113.5,193913,Rural,El Dorado,-120.525118,38.77927687
6019,168.1,1001679,Rural,Fresno,-119.6510577,36.75819212
6021,21.7,28526,Rural,Glenn,-122.3909024,39.59823808
6023,38.1,135819,Rural,Humboldt,-123.87575,40.69920799
6025,43.3,180991,Rural,Imperial,-115.3652644,33.039537
6027,1.8,18076,Rural,Inyo,-117.4115268,36.51151321
6029,111.1,903079,Rural,Kern,-118.730066,35.34295136
6031,110.5,153468,Rural,Kings,-119.8154673,36.07536089
6033,51.4,64614,Rural,Lake,-122.7541069,39.09956568
6035,6.7,30568,Rural,Lassen,-120.5943294,40.67344398
6037,2474.4,10040723,Urban,Los Angeles,-118.2246916,34.32114132
6039,73.9,157915,Rural,Madera,-119.7627487,37.2182163
6041,497.8,259027,Rural,Marin,-122.7238042,38.07388193
6043,11.9,17246,Rural,Mariposa,-119.9110034,37.57736279
6045,24.8,86919,Rural,Mendocino,-123.3914133,39.44035366
6047,144.3,279313,Rural,Merced,-120.7175557,37.19191313
6049,2.3,8840,Rural,Modoc,-120.724791,41.58974607
6051,4.7,14362,Rural,Mono,-118.8875478,37.93923386
6053,132.5,434621,Rural,Monterey,-121.2393212,36.21636989
6055,184.4,137969,Rural,Napa,-122.3314634,38.50726702
6057,104.6,100191,Rural,Nevada,-120.7686055,39.30115247
6059,4019.8,3177905,Urban,Orange,-117.7607477,33.70297627
6061,285.3,401405,Rural,Placer,-120.7171226,39.06343593
6063,7.4,18885,Rural,Plumas,-120.8376469,40.00402792
6065,344.7,2483726,Rural,Riverside,-115.9938549,33.74363564
6067,1613.9,1556817,Urban,Sacramento,-121.3448359,38.44874079
6069,45.6,63266,Rural,San Benito,-121.0755542,36.60399254
6071,109.0,2185317,Rural,San Bernardino,-116.1786779,34.84178102
6073,795.1,3344694,Urban,San Diego,-116.7353793,33.03401356
6075,18825.8,882417,Urban,San Francisco,-122.4393922,37.75999356
6077,550.2,765512,Urban,San Joaquin,-121.2718065,37.93484195
6079,86.1,284085,Rural,San Luis Obispo,-120.4048434,35.38726285
6081,1707.9,765837,Urban,San Mateo,-122.3273639,37.42322968
6083,163.6,447530,Rural,Santa Barbara,-120.0166318,34.67363399
6085,1491.6,1924317,Urban,Santa Clara,-121.6961445,37.23263642
6087,614.4,273524,Urban,Santa Cruz,-122.0010073,37.05611958
6089,47.9,180772,Rural,Shasta,-122.0392223,40.7636356
6091,3.2,3009,Rural,Sierra,-120.5160862,39.58014381
6093,7.0,43732,Rural,Siskiyou,-122.5390516,41.59425182
6095,546.5,449107,Urban,Solano,-121.9320733,38.27061842
6097,313.8,494527,Rural,Sonoma,-122.8876375,38.52854399
6099,369.7,552693,Rural,Stanislaus,-120.997954,37.55913651
6101,161.5,97287,Rural,Sutter,-121.6945535,39.03443385
6103,22.1,65316,Rural,Tehama,-122.2337288,40.12516798
6105,3.8,12236,Rural,Trinity,-123.1157771,40.64977624
6107,96.8,466926,Rural,Tulare,-118.8012238,36.22061355
6109,24.7,54761,Rural,Tuolumne,-119.9524446,38.02628123
6111,459.6,847146,Rural,Ventura,-119.0835707,34.45676389
6113,218.0,221203,Rural,Yolo,-121.9018521,38.68651609
6115,125.3,79182,Rural,Yuba,-121.3505415,39.26964082
8001,444.8,519315,Rural,Adams,-104.3380626,39.87402122
8003,22.7,16423,Rural,Alamosa,-105.7883819,37.57262092
8005,824.0,657609,Urban,Arapahoe,-104.3370084,39.65033573
8007,10.5,14179,Rural,Archuleta,-107.0481757,37.19365584
8009,1.4,3594,Rural,Baca,-102.5601285,37.31928731
8011,3.7,5548,Rural,Bent,-103.0720329,37.9550485
8013,450.8,327381,Rural,Boulder,-105.3580726,40.09251514
8014,2143.6,70811,Urban,Broomfield,-105.0530144,39.95460762
8015,20.2,20513,Rural,Chaffee,-106.1933346,38.74850892
8017,1.0,1833,Rural,Cheyenne,-102.6036384,38.82780819
8019,24.6,9734,Rural,Clear Creek,-105.6448509,39.68900806
8021,6.4,8240,Rural,Conejos,-106.1913793,37.20064187
8023,3.2,3918,Rural,Costilla,-105.4282108,37.27777759
8025,7.8,6156,Rural,Crowley,-103.7843752,38.32649889
8027,6.9,5127,Rural,Custer,-105.3669993,38.10865771
8029,27.5,31373,Rural,Delta,-107.8629832,38.86152219
8031,4767.0,729348,Urban,Denver,-104.876586,39.76029518
8033,1.9,2067,Rural,Dolores,-108.5172417,37.75186746
8035,420.5,353316,Rural,Douglas,-104.9287982,39.32963177
8037,32.8,55196,Rural,Eagle,-106.6952462,39.62796763
8039,14.5,26896,Rural,Elbert,-104.1357093,39.28676208
8041,340.8,724738,Rural,El Paso,-104.5254283,38.83236112
8043,31.3,48031,Rural,Fremont,-105.4397863,38.47308193
8045,20.4,60213,Rural,Garfield,-107.903937,39.59926674
8047,42.0,6293,Rural,Gilpin,-105.5224457,39.85718515
8049,8.5,15783,Rural,Grand,-106.1174119,40.10265772
8051,5.4,17600,Rural,Gunnison,-107.0321897,38.66682101
8053,0.7,828,Rural,Hinsdale,-107.3002736,37.82198642
8055,4.4,6969,Rural,Huerfano,-104.9606298,37.68494013
8057,0.9,1397,Rural,Jackson,-106.3429878,40.66601351
8059,765.1,584699,Urban,Jefferson,-105.2503251,39.58587063
8061,0.8,1414,Rural,Kiowa,-102.7405008,38.43289762
8063,3.3,7078,Rural,Kit Carson,-102.60233,39.30507096
8065,21.7,8165,Rural,Lake,-106.3448349,39.20191528
8067,33.4,56432,Rural,La Plata,-107.8432983,37.28668213
8069,138.4,359303,Rural,Larimer,-105.4614279,40.66652488
8071,3.1,14578,Rural,Las Animas,-104.0386566,37.31576816
8073,2.2,5742,Rural,Lincoln,-103.5138977,38.98816975
8075,12.1,22227,Rural,Logan,-103.1100371,40.72485403
8077,46.6,155037,Rural,Mesa,-108.4669015,39.0181822
8079,0.9,775,Rural,Mineral,-106.924145,37.66845124
8081,2.8,13290,Rural,Moffat,-108.207536,40.61836452
8083,13.0,26288,Rural,Montezuma,-108.5966504,37.33855367
8085,19.2,43000,Rural,Montrose,-108.2688964,38.40236635
8087,22.7,29042,Rural,Morgan,-103.8097244,40.26277543
8089,14.5,18335,Rural,Otero,-103.7167076,37.9024143
8091,9.2,4987,Rural,Ouray,-107.7692209,38.15530071
8093,8.7,19031,Rural,Park,-105.7164996,39.11978797
8095,6.2,4264,Rural,Phillips,-102.3573987,40.59394842
8097,18.2,17683,Rural,Pitkin,-106.9159741,39.21744595
8099,7.4,12206,Rural,Prowers,-102.3933004,37.95518014
8101,70.9,169155,Rural,Pueblo,-104.5126955,38.17380845
8103,2.0,6321,Rural,Rio Blanco,-108.2171135,39.9797518
8105,12.4,11268,Rural,Rio Grande,-106.3829212,37.58223399
8107,10.9,25796,Rural,Routt,-106.9912275,40.48551867
8109,2.2,6858,Rural,Saguache,-106.2811212,38.08046529
8111,1.9,733,Rural,San Juan,-107.6756734,37.76425547
8113,6.4,8187,Rural,San Miguel,-108.4059271,38.00401543
8115,4.1,2255,Rural,Sedgwick,-102.3519638,40.87598057
8117,51.1,31083,Rural,Summit,-106.1163196,39.6342148
8119,45.9,25563,Rural,Teller,-105.1617042,38.88227988
8121,2.0,4932,Rural,Washington,-103.2014136,39.97112969
8123,82.0,327077,Rural,Weld,-104.3928271,40.55493613
8125,4.2,10035,Rural,Yuma,-102.4246098,40.00284508
9001,1508.4,942596,Urban,Fairfield,-73.38942182,41.27166724
9003,1212.9,891590,Urban,Hartford,-72.73276698,41.80653444
9005,196.0,180429,Rural,Litchfield,-73.24529195,41.79234069
9007,440.3,162611,Rural,Middlesex,-72.53513114,41.46333347
9009,1414.2,854873,Urban,New Haven,-72.93263656,41.41052748
9011,399.1,265342,Rural,New London,-72.10184166,41.48674009
9013,367.8,150866,Rural,Tolland,-72.33645479,41.8545849
9015,228.1,116984,Rural,Windham,-71.98753068,41.82994523
10001,310.1,181760,Rural,Kent,-75.56840742,39.08669553
10003,1315.2,560636,Urban,New Castle,-75.64792264,39.58183211
10005,252.5,236403,Rural,Sussex,-75.38998541,38.66089894
11001,11564.4,705989,Urban,District of Columbia,-77.01629978,38.90472697
12001,308.6,270032,Rural,Alachua,-82.35809321,29.67494731
12003,50.3,29434,Rural,Baker,-82.28474734,30.3312026
12005,228.7,173469,Rural,Bay,-85.62018844,30.26524085
12007,97.2,28568,Rural,Bradford,-82.16842536,29.94988611
12009,597.7,607014,Urban,Brevard,-80.73215381,28.29322516
12011,1616.2,1955251,Urban,Broward,-80.48727073,26.15211451
12013,24.8,14062,Rural,Calhoun,-85.19663919,30.40605417
12015,280.9,191064,Rural,Charlotte,-81.9117906,26.9058863
12017,260.2,151369,Rural,Citrus,-82.47820833,28.84866146
12019,365.3,220763,Rural,Clay,-81.85788984,29.98303767
12021,194.1,387966,Rural,Collier,-81.34467832,26.1170245
12023,90.5,72154,Rural,Columbia,-82.62181545,30.22447896
12027,59.8,38079,Rural,DeSoto,-81.80934054,27.1865581
12029,24.0,16919,Rural,Dixie,-83.15869392,29.60801957
12031,1261.9,961793,Urban,Duval,-81.6706332,30.33209992
12033,487.1,319784,Rural,Escambia,-87.36427494,30.66788784
12035,239.8,116416,Rural,Flagler,-81.31348156,29.46168424
12037,23.0,12286,Rural,Franklin,-84.80774397,29.8752004
12039,88.4,45669,Rural,Gadsden,-84.61392478,30.57964751
12041,53.5,18716,Rural,Gilchrist,-82.80066665,29.72556885
12043,17.3,13948,Rural,Glades,-81.18898528,26.95659579
12045,25.7,14474,Rural,Gulf,-85.22351197,29.9540337
12047,28.1,14449,Rural,Hamilton,-82.94811131,30.49625814
12049,42.2,26938,Rural,Hardee,-81.80987667,27.49284808
12051,36.5,42033,Rural,Hendry,-81.16530531,26.55354881
12053,414.9,196043,Rural,Hernando,-82.42570675,28.55409758
12055,105.3,107017,Rural,Highlands,-81.34096496,27.34286958
12057,1444.2,1473380,Urban,Hillsborough,-82.30922863,27.92970662
12059,41.2,19703,Rural,Holmes,-85.81399621,30.86788611
12061,321.2,161546,Rural,Indian River,-80.60621042,27.69411658
12063,51.3,47080,Rural,Jackson,-85.21553453,30.79544821
12065,23.9,14288,Rural,Jefferson,-83.89499655,30.43745722
12067,15.3,8315,Rural,Lafayette,-83.18182453,29.98573094
12069,396.2,371792,Rural,Lake,-81.71150817,28.76124449
12071,990.9,777411,Urban,Lee,-81.83497865,26.57745177
12073,441.5,294412,Rural,Leon,-84.27803622,30.45809639
12075,37.4,41797,Rural,Levy,-82.74244699,29.31923477
12077,10.0,8393,Rural,Liberty,-84.88270861,30.24124181
12079,26.6,18524,Rural,Madison,-83.46982282,30.4443914
12081,548.6,407576,Urban,Manatee,-82.31549584,27.47186118
12083,233.0,369231,Rural,Marion,-82.05673787,29.21016091
12085,298.1,161980,Rural,Martin,-80.43125893,27.07763224
12086,1434.0,2721256,Urban,Miami-Dade,-80.56142803,25.61427046
12087,75.4,74150,Rural,Monroe,-81.06771247,25.36600458
12089,138.4,89773,Rural,Nassau,-81.80198035,30.6106208
12091,228.0,212140,Rural,Okaloosa,-86.59169942,30.69085706
12093,55.0,42326,Rural,Okeechobee,-80.88881798,27.38669569
12095,1546.1,1396795,Urban,Orange,-81.32288958,28.51418401
12097,285.1,378454,Rural,Osceola,-81.14956272,28.06260996
12099,762.5,1502034,Urban,Palm Beach,-80.46525488,26.64769528
12101,750.4,560435,Urban,Pasco,-82.39262762,28.30950733
12103,3579.0,979919,Urban,Pinellas,-82.72165973,27.9201576
12105,407.4,732435,Rural,Polk,-81.69731123,27.94877779
12107,103.0,74925,Rural,Putnam,-81.74426877,29.60861786
12109,447.7,268905,Rural,St. Johns,-81.44052295,29.90163206
12111,580.5,331983,Urban,St. Lucie,-80.47093128,27.37755371
12113,184.2,186294,Rural,Santa Rosa,-87.02094806,30.70044866
12115,787.8,437909,Urban,Sarasota,-82.33145633,27.18438631
12117,1531.4,473544,Urban,Seminole,-81.23554604,28.71737531
12119,246.1,134623,Rural,Sumter,-82.08154799,28.70547136
12121,64.7,44525,Rural,Suwannee,-82.9910983,30.19467162
12123,20.7,21546,Rural,Taylor,-83.60298751,30.04708495
12125,61.6,14998,Rural,Union,-82.37190745,30.04409779
12127,507.1,558323,Urban,Volusia,-81.18199975,29.05881989
12129,56.4,34178,Rural,Wakulla,-84.40048848,30.16737643
12131,72.7,75397,Rural,Walton,-86.16975224,30.64344211
12133,44.1,25722,Rural,Washington,-85.66537437,30.61072043
13001,36.3,18413,Rural,Appling,-82.28939513,31.74894487
13003,24.1,8182,Rural,Atkinson,-82.88029248,31.29719202
13005,43.2,11177,Rural,Bacon,-82.45254076,31.55344199
13007,8.8,3025,Rural,Baker,-84.44394261,31.3263615
13009,174.5,44986,Rural,Baldwin,-83.25048524,33.06922942
13011,83.4,19354,Rural,Banks,-83.49742613,34.3536866
13013,523.8,83976,Urban,Barrow,-83.71351145,33.99304503
13015,235.7,108306,Rural,Bartow,-84.84062451,34.23777244
13017,66.6,16651,Rural,Ben Hill,-83.22013115,31.75971358
13019,43.1,19478,Rural,Berrien,-83.22986267,31.27582028
13021,614.6,153494,Urban,Bibb,-83.6976276,32.80641586
13023,59.9,12938,Rural,Bleckley,-83.32807354,32.43439209
13025,43.3,19171,Rural,Brantley,-81.98144479,31.19704641
13027,31.1,15354,Rural,Brooks,-83.58055565,30.84217815
13029,91.9,40081,Rural,Bryan,-81.44586077,32.01573371
13031,119.7,80548,Rural,Bulloch,-81.74311416,32.39677746
13033,27.1,22380,Rural,Burke,-82.00102189,33.06115117
13035,136.7,25209,Rural,Butts,-83.95738636,33.28825619
13037,22.0,6180,Rural,Calhoun,-84.62399916,31.52834311
13039,89.6,54907,Rural,Camden,-81.67056811,30.93024409
13043,44.6,10840,Rural,Candler,-82.07370957,32.40343894
13045,241.7,120634,Rural,Carroll,-85.07983718,33.58254077
13047,418.8,67906,Rural,Catoosa,-85.13861912,34.90295804
13049,17.5,13529,Rural,Charlton,-82.13753604,30.78160602
13051,679.3,289676,Urban,Chatham,-81.13314122,32.00369869
13053,44.1,10969,Rural,Chattahoochee,-84.78680105,32.34726889
13055,79.2,24828,Rural,Chattooga,-85.34525888,34.47483844
13057,618.4,260752,Urban,Cherokee,-84.47658676,34.24392336
13059,1079.3,128658,Urban,Clarke,-83.36691008,33.95063302
13061,14.5,2828,Rural,Clay,-84.97943709,31.62647612
13063,2074.8,293733,Urban,Clayton,-84.35859676,33.54217493
13065,8.3,6631,Rural,Clinch,-82.70637489,30.91528788
13067,2242.5,761438,Urban,Cobb,-84.57641569,33.94105875
13069,75.5,43422,Rural,Coffee,-82.84931649,31.54928225
13071,84.2,45819,Rural,Colquitt,-83.76874953,31.18826336
13073,543.8,157742,Urban,Columbia,-82.26368138,33.54461092
13075,76.2,17306,Rural,Cook,-83.43045437,31.15442459
13077,338.8,149354,Rural,Coweta,-84.76352637,33.35337749
13079,38.3,12449,Rural,Crawford,-83.98613815,32.71422865
13081,82.0,22355,Rural,Crisp,-83.76805172,31.92295332
13083,92.8,16147,Rural,Dade,-85.50487967,34.8543477
13085,125.3,26411,Rural,Dawson,-84.16999662,34.44372498
13087,44.2,26412,Rural,Decatur,-84.57936317,30.87818367
